Time [s],Value,Parity Error,Framing Error
1.025642000000000,0x5F,,
1.114322000000000,0xDF,,
1.123439000000000,0x7F,,
1.294998000000000,0x61,,
1.390308000000000,0xE1,,
1.399425000000000,0x7F,,
1.584245000000000,0x4C,,
1.680384000000000,0xCC,,
1.689501000000000,0x7F,,
1.867690000000000,0x13,,
1.963829000000000,0x93,,
1.972946000000000,0x7F,,
2.157766000000000,0x78,,
2.253905000000000,0xF8,,
2.263022000000000,0x7F,,
2.866379000000000,0x79,,
2.982410000000000,0xF9,,
2.991526000000000,0x7F,,
3.608145000000000,0x7A,,
3.704284000000000,0xFA,,
3.713401000000000,0x7F,,
4.015080000000000,0x43,,
4.103760000000000,0xC3,,
4.112877000000000,0x7F,,
4.339136000000000,0x0D,,
4.427816000000000,0x8D,,
4.436933000000000,0x7F,,
4.628383000000000,0x18,,
4.731981000000000,0x98,,
4.741098000000000,0x7F,,
4.925918000000000,0x1B,,
5.022057000000000,0x9B,,
5.031174000000000,0x7F,,
5.209363000000000,0x1C,,
5.305503000000000,0x9C,,
5.314619000000000,0x7F,,
5.540878000000000,0x5E,,
5.622928000000000,0xDE,,
5.632045000000000,0x7F,,
5.850845000000000,0x32,,
5.933724000000000,0xB2,,
5.942841000000000,0x7F,,
