Time [s],Value,Parity Error,Framing Error
0.954184000000000,0x48,,
1.071043000000000,0xC8,,
1.080160000000000,0x7F,,
1.203649000000000,0x49,,
1.327139000000000,0xC9,,
1.336255000000000,0x7F,,
1.466375000000000,0x63,,
1.596495000000000,0xE3,,
1.605611000000000,0x7F,,
1.742361000000000,0x7C,,
1.886571000000000,0xFC,,
1.895687000000000,0x7F,,
2.032437000000000,0x64,,
2.155927000000000,0xE4,,
2.165043000000000,0x7F,,
2.308424000000000,0x65,,
2.432742000000000,0xE5,,
2.441859000000000,0x7F,,
2.585239000000000,0x66,,
2.695468000000000,0xE6,,
2.704584000000000,0x7F,,
2.834704000000000,0x67,,
2.944104000000000,0xE7,,
2.953221000000000,0x7F,,
3.104060000000000,0x68,,
3.240810000000000,0xE8,,
3.249927000000000,0x7F,,
3.400767000000000,0x69,,
3.530886000000000,0xE9,,
3.540003000000000,0x7F,,
3.683383000000000,0x6A,,
3.820962000000000,0xEA,,
3.830079000000000,0x7F,,
4.001638000000000,0x6B,,
4.125127000000000,0xEB,,
4.134244000000000,0x7F,,
4.277624000000000,0x6C,,
4.401943000000000,0xEC,,
4.411059000000000,0x7F,,
4.547809000000000,0x6D,,
4.671299000000000,0xED,,
4.680415000000000,0x7F,,
4.858605000000000,0x6E,,
5.043425000000000,0xEE,,
5.052541000000000,0x7F,,
5.463620000000000,0x14,,
5.573849000000000,0x94,,
5.582966000000000,0x7F,,
5.939345000000000,0x70,,
6.014765000000000,0xF0,,
6.023881000000000,0x7F,,
6.208701000000000,0x71,,
6.290751000000000,0xF1,,
6.299868000000000,0x7F,,
6.463968000000000,0x72,,
6.553477000000000,0xF2,,
6.562594000000000,0x7F,,
6.754044000000000,0x5A,,
6.850183000000000,0xDA,,
6.859300000000000,0x7F,,
