Time [s],Value,Parity Error,Framing Error
1.430693000000000,0x01,,
1.588162000000000,0x81,,
1.597279000000000,0x7F,,
1.748119000000000,0x03,,
1.884869000000000,0x83,,
1.893985000000000,0x7F,,
2.051455000000000,0x2A,,
2.181575000000000,0xAA,,
2.190692000000000,0x7F,,
2.354792000000000,0x1E,,
2.471651000000000,0x9E,,
2.480768000000000,0x7F,,
2.652327000000000,0x1F,,
2.774988000000000,0x9F,,
2.784104000000000,0x7F,,
2.948204000000000,0x20,,
3.071694000000000,0xA0,,
3.080810000000000,0x7F,,
3.231650000000000,0x21,,
3.368400000000000,0xA1,,
3.377517000000000,0x7F,,
3.534986000000000,0x22,,
3.665106000000000,0xA2,,
3.674223000000000,0x7F,,
3.838323000000000,0x23,,
3.941921000000000,0xA3,,
3.951038000000000,0x7F,,
4.129227000000000,0x24,,
4.252717000000000,0xA4,,
4.261834000000000,0x7F,,
4.412673000000000,0x25,,
4.542793000000000,0xA5,,
4.551909000000000,0x7F,,
4.716009000000000,0x26,,
4.846958000000000,0xA6,,
4.856075000000000,0x7F,,
5.020174000000000,0x27,,
5.130403000000000,0xA7,,
5.139520000000000,0x7F,,
5.311079000000000,0x28,,
5.434568000000000,0xA8,,
5.443685000000000,0x7F,,
5.594524000000000,0x29,,
5.718014000000000,0xA9,,
5.727130000000000,0x7F,,
5.877970000000000,0x2B,,
6.001459000000000,0xAB,,
6.010576000000000,0x7F,,
6.182135000000000,0x2C,,
6.332974000000000,0xAC,,
6.342091000000000,0x7F,,
6.492930000000000,0x34,,
6.602330000000000,0xB4,,
6.611447000000000,0x7F,,
6.775547000000000,0x60,,
6.899036000000000,0xE0,,
6.908153000000000,0x7F,,
7.065623000000000,0x62,,
7.182482000000000,0xE2,,
7.191599000000000,0x7F,,
7.390508000000000,0x2E,,
7.499908000000000,0xAE,,
7.509024000000000,0x7F,,
7.680584000000000,0x2F,,
7.810703000000000,0xAF,,
7.819820000000000,0x7F,,
7.991379000000000,0x47,,
8.176199000000000,0xC7,,
8.185314999999999,0x7F,,
