Time [s],Value,Parity Error,Framing Error
0.811575000000000,0x76,,
0.935894000000000,0xF6,,
0.945010000000000,0x7F,,
1.102480000000000,0x1D,,
1.259950000000000,0x9D,,
1.269067000000000,0x7F,,
1.412448000000000,0x05,,
1.584007000000000,0x85,,
1.593124000000000,0x7F,,
1.729874000000000,0x06,,
1.887344000000000,0x86,,
1.896460000000000,0x7F,,
2.012491000000000,0x08,,
2.177420000000000,0x88,,
2.186537000000000,0x7F,,
2.310026000000000,0x0A,,
2.446776000000000,0x8A,,
2.455893000000000,0x7F,,
2.586013000000000,0x0C,,
2.736852000000000,0x8C,,
2.745969000000000,0x7F,,
2.882719000000000,0x0E,,
3.020298000000000,0x8E,,
3.029415000000000,0x7F,,
3.172795000000000,0x10,,
3.302915000000000,0x90,,
3.312032000000000,0x7F,,
3.442151000000000,0x11,,
3.558182000000000,0x91,,
3.567299000000000,0x7F,,
3.718138000000000,0x12,,
3.854888000000000,0x92,,
3.864005000000000,0x7F,,
4.007385000000000,0x07,,
4.110984000000000,0x87,,
4.120100000000000,0x7F,,
4.277570000000000,0x09,,
4.387799000000000,0x89,,
4.396916000000000,0x7F,,
4.547755000000000,0x0B,,
4.671245000000000,0x8B,,
4.680361000000000,0x7F,,
4.831201000000000,0x16,,
4.933971000000000,0x96,,
4.943087000000000,0x7F,,
5.100557000000000,0x17,,
5.224047000000000,0x97,,
5.233163000000000,0x7F,,
5.417983000000000,0x15,,
5.528212000000000,0x95,,
5.537329000000000,0x7F,,
5.722149000000000,0x2D,,
5.832378000000000,0xAD,,
5.841494000000000,0x7F,,
6.081014000000000,0x02,,
6.191243000000000,0x82,,
6.200360000000000,0x7F,,
6.391810000000000,0x04,,
6.502039000000000,0x84,,
6.511156000000000,0x7F,,
6.723326000000000,0x30,,
6.888255000000000,0xB0,,
6.897371000000000,0x7F,,
