Time [s],Value,Parity Error,Framing Error
1.257954000000000,0x31,,
1.442774000000000,0xB1,,
1.451890000000000,0x7F,,
1.602730000000000,0x33,,
1.766829000000000,0xB3,,
1.775946000000000,0x7F,,
1.947505000000000,0x77,,
2.063535000000000,0xF7,,
2.072652000000000,0x7F,,
2.284821000000000,0x4D,,
2.436490000000000,0xCD,,
2.445606000000000,0x7F,,
2.609706000000000,0x4E,,
2.781265000000000,0xCE,,
2.790381000000000,0x7F,,
2.920501000000000,0x4F,,
3.077971000000000,0xCF,,
3.087087000000000,0x7F,,
3.223837000000000,0x50,,
3.374676000000000,0xD0,,
3.383793000000000,0x7F,,
3.520543000000000,0x51,,
3.663923000000000,0xD1,,
3.673039000000000,0x7F,,
3.809789000000000,0x52,,
3.968088000000000,0xD2,,
3.977204000000000,0x7F,,
4.120584000000000,0x53,,
4.278054000000000,0xD3,,
4.287170000000000,0x7F,,
4.403201000000000,0x54,,
4.561499000000000,0xD4,,
4.570615000000000,0x7F,,
4.700735000000000,0x55,,
4.844944000000000,0xD5,,
4.854060000000000,0x7F,,
4.984180000000000,0x56,,
5.134191000000000,0xD6,,
5.143307000000000,0x7F,,
5.280057000000000,0x57,,
5.437527000000000,0xD7,,
5.446643000000000,0x7F,,
5.576763000000000,0x58,,
5.754952000000000,0xD8,,
5.764068000000000,0x7F,,
6.168516000000000,0x5B,,
6.285375000000000,0xDB,,
6.294492000000000,0x7F,,
6.451962000000000,0x5C,,
6.562190000000000,0xDC,,
6.571307000000000,0x7F,,
6.714687000000000,0x5D,,
6.941774000000000,0xDD,,
6.950891000000000,0x7F,,
